id,price_range,probability
1,3,0.91832125
2,3,0.9761097
3,3,0.68887895
4,3,0.9946846
5,1,0.9965961
6,3,0.9782238
7,3,0.9989384
8,1,0.999386
9,3,0.98233604
10,0,0.9963282
11,3,0.99738485
12,3,0.99479
13,0,0.9994222
14,0,0.99127126
15,2,0.99424064
16,1,0.5489659
17,2,0.9965443
18,1,0.9876388
19,3,0.99651796
20,2,0.8117212
21,1,0.9882877
22,3,0.95038784
23,2,0.54872835
24,1,0.99904686
25,3,0.9953273
26,0,0.999421
27,2,0.9448122
28,0,0.99974287
29,3,0.66564035
30,0,0.99931926
31,3,0.51288396
32,0,0.9955576
33,3,0.9937478
34,0,0.99898696
35,1,0.61497706
36,1,0.9972273
37,3,0.9841592
38,1,0.9970572
39,2,0.9960458
40,1,0.98590493
41,1,0.9615515
42,2,0.99040824
43,0,0.9998854
44,0,0.9999389
45,0,0.99765855
46,1,0.5502837
47,0,0.936684
48,3,0.98765427
49,1,0.9924474
50,2,0.9965778
51,1,0.99963087
52,0,0.9995137
53,3,0.68351895
54,0,0.9832277
55,3,0.9945422
56,0,0.52575946
57,3,0.9944348
58,1,0.99354744
59,1,0.7113262
60,3,0.99216026
61,3,0.9924219
62,2,0.7305642
63,0,0.9807042
64,1,0.98250294
65,0,0.6354704
66,1,0.9861568
67,2,0.9320943
68,3,0.8429615
69,1,0.98023665
70,2,0.99682176
71,1,0.99974895
72,2,0.9946898
73,2,0.9977769
74,3,0.99423766
75,3,0.9975275
76,0,0.99982953
77,2,0.99753916
78,0,0.9906899
79,2,0.58679444
80,3,0.9934141
81,0,0.98783374
82,3,0.99546456
83,3,0.997802
84,0,0.9978853
85,3,0.9952455
86,0,0.8359572
87,3,0.9811051
88,1,0.92622125
89,3,0.74159396
90,0,0.93223464
91,1,0.9879071
92,2,0.96489733
93,2,0.9730224
94,1,0.99645597
95,2,0.9634857
96,2,0.95972955
97,1,0.82370895
98,2,0.6550396
99,1,0.9960032
100,3,0.6391846
101,1,0.94699246
102,0,0.9599236
103,0,0.99996907
104,3,0.98110294
105,0,0.904989
106,2,0.9966292
107,1,0.9250604
108,1,0.98715824
109,2,0.9988879
110,3,0.99051046
111,3,0.9963975
112,2,0.78936666
113,1,0.99000067
114,3,0.9987738
115,3,0.9813452
116,3,0.98680234
117,3,0.9922277
118,2,0.9894046
119,3,0.9818048
120,0,0.9570776
121,0,0.9996753
122,3,0.91123295
123,2,0.52359056
124,1,0.9947452
125,2,0.9351574
126,0,0.5556895
127,3,0.99060744
128,2,0.879068
129,2,0.8551254
130,2,0.91766465
131,0,0.999953
132,2,0.9960343
133,1,0.58263886
134,1,0.98174196
135,3,0.947522
136,1,0.99358773
137,1,0.8405501
138,0,0.9977608
139,3,0.9968697
140,2,0.9212801
141,1,0.9994563
142,2,0.9931119
143,1,0.9996996
144,3,0.51367974
145,2,0.9943313
146,3,0.99327713
147,3,0.9784539
148,2,0.74651957
149,2,0.9991563
150,3,0.997037
151,2,0.9883301
152,3,0.9956844
153,1,0.9598569
154,0,0.9986269
155,3,0.8287174
156,2,0.97477984
157,3,0.9997474
158,3,0.9900121
159,2,0.6367362
160,3,0.99293244
161,3,0.8201989
162,2,0.9978954
163,3,0.99346715
164,3,0.9852413
165,3,0.9956046
166,3,0.97925866
167,1,0.9819888
168,0,0.9997544
169,3,0.99818677
170,0,0.9999705
171,0,0.99997884
172,0,0.8845026
173,2,0.8106116
174,1,0.7519319
175,0,0.99973404
176,1,0.95890445
177,0,0.99178433
178,0,0.99682164
179,1,0.7212378
180,2,0.84718937
181,1,0.97913086
182,0,0.9999153
183,0,0.8995975
184,1,0.99133897
185,1,0.96524805
186,2,0.9933137
187,2,0.7300435
188,1,0.99961513
189,0,0.9981594
190,0,0.9893751
191,0,0.99963015
192,1,0.5720133
193,0,0.9523046
194,3,0.99318886
195,1,0.9126865
196,0,0.9632722
197,2,0.99376935
198,2,0.99844575
199,3,0.6889931
200,3,0.9640288
201,1,0.9984307
202,2,0.5661402
203,3,0.62437457
204,3,0.92086107
205,3,0.9450452
206,2,0.9515276
207,2,0.90553063
